STUDY_ID	SAMPLE_ID	AKR1C3
brca_metabric	MB-0460	0
brca_metabric	MB-0470	0
brca_metabric	MB-0472	0
brca_metabric	MB-0485	0
brca_metabric	MB-0488	0
brca_metabric	MB-0491	0
brca_metabric	MB-0492	0
brca_metabric	MB-0499	0
brca_metabric	MB-0514	0
brca_metabric	MB-0521	0
brca_metabric	MB-0522	0
brca_metabric	MB-0539	0
brca_metabric	MB-0540	0
brca_metabric	MB-0547	0
brca_metabric	MB-0578	0
brca_metabric	MB-0582	2
brca_metabric	MB-0583	0
brca_metabric	MB-0586	0
brca_metabric	MB-0587	0
brca_metabric	MB-0589	0
brca_metabric	MB-0592	0
brca_metabric	MB-0593	0
brca_metabric	MB-0596	0
brca_metabric	MB-0600	0
brca_metabric	MB-0605	0
brca_metabric	MB-0606	0
brca_metabric	MB-0621	0
brca_metabric	MB-0634	0
brca_metabric	MB-0638	0
brca_metabric	MB-0646	0
brca_metabric	MB-0653	0
brca_metabric	MB-0657	-1
brca_metabric	MB-0876	0
brca_metabric	MB-0885	0
brca_metabric	MB-0906	0
brca_metabric	MB-0907	0
brca_metabric	MB-2536	0
brca_metabric	MB-2556	0
brca_metabric	MB-2610	0
brca_metabric	MB-2614	0
brca_metabric	MB-2616	0
brca_metabric	MB-2708	0
brca_metabric	MB-2712	0
brca_metabric	MB-2718	0
brca_metabric	MB-2744	0
brca_metabric	MB-2745	0
brca_metabric	MB-2750	0
brca_metabric	MB-2752	0
brca_metabric	MB-2754	0
brca_metabric	MB-2769	-1
brca_metabric	MB-2770	0
brca_metabric	MB-2772	0
brca_metabric	MB-2790	1
brca_metabric	MB-2796	2
brca_metabric	MB-2797	0
brca_metabric	MB-2815	0
brca_metabric	MB-2819	0
brca_metabric	MB-2823	0
brca_metabric	MB-2840	0
brca_metabric	MB-2845	0
brca_metabric	MB-2851	0
brca_metabric	MB-2854	0
brca_metabric	MB-2858	0
brca_metabric	MB-2900	0
brca_metabric	MB-2927	1
brca_metabric	MB-2944	-1
brca_metabric	MB-2963	0
brca_metabric	MB-2970	0
