Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-0120	MB-0120	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0121	MB-0121	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0122	MB-0122	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0123	MB-0123	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0124	MB-0124	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0125	MB-0125	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0126	MB-0126	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0127	MB-0127	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0128	MB-0128	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0129	MB-0129	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0130	MB-0130	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0131	MB-0131	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0133	MB-0133	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0134	MB-0134	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0135	MB-0135	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0136	MB-0136	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0138	MB-0138	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0139	MB-0139	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0140	MB-0140	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0142	MB-0142	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0143	MB-0143	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0144	MB-0144	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0145	MB-0145	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0146	MB-0146	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0147	MB-0147	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0148	MB-0148	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0149	MB-0149	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0150	MB-0150	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0151	MB-0151	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0152	MB-0152	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0154	MB-0154	0	no alteration	not profiled	not profiled	no alteration	no alteration
