STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0412	5.699892272
brca_metabric	MB-0413	5.831700574
brca_metabric	MB-0414	5.414928158
brca_metabric	MB-0417	5.504047393
brca_metabric	MB-0418	5.311864405
brca_metabric	MB-0419	5.234139466
brca_metabric	MB-0420	7.04637983
brca_metabric	MB-0421	6.360239589
brca_metabric	MB-0422	5.31179416
brca_metabric	MB-0424	5.382189482
brca_metabric	MB-0425	8.504076309
brca_metabric	MB-0426	6.553486643
brca_metabric	MB-0427	5.384180033
brca_metabric	MB-0428	5.944331903
brca_metabric	MB-0429	5.879426539
brca_metabric	MB-0431	5.322855417
brca_metabric	MB-0434	5.382745828
brca_metabric	MB-0436	5.327474256
brca_metabric	MB-0437	8.762347656
brca_metabric	MB-0438	7.892929639
brca_metabric	MB-0439	5.44419004
brca_metabric	MB-0440	5.531552721
brca_metabric	MB-0442	5.230733699
brca_metabric	MB-0443	5.585559632
brca_metabric	MB-0444	5.462721734
brca_metabric	MB-0445	5.661514277
brca_metabric	MB-0446	5.73095695
brca_metabric	MB-0449	5.635416256
brca_metabric	MB-0451	5.522718419
brca_metabric	MB-0452	5.292821734
brca_metabric	MB-0453	9.186413353
brca_metabric	MB-0454	8.923357305
brca_metabric	MB-0455	5.333860613
brca_metabric	MB-0458	5.491882474
brca_metabric	MB-0459	5.576040115
brca_metabric	MB-0460	7.07370551
brca_metabric	MB-0462	5.989807489
brca_metabric	MB-0463	5.50225013
brca_metabric	MB-0464	5.701711734
brca_metabric	MB-0465	8.510110504
brca_metabric	MB-0466	5.313930401
brca_metabric	MB-0467	5.380860432
brca_metabric	MB-0468	5.578841478
brca_metabric	MB-0469	5.516967264
brca_metabric	MB-0470	5.552125041
brca_metabric	MB-0471	5.991662913
brca_metabric	MB-0472	5.524678191
brca_metabric	MB-0474	5.6841983
brca_metabric	MB-0475	6.073610392
brca_metabric	MB-0476	5.278730316
brca_metabric	MB-0478	6.860765801
brca_metabric	MB-0479	5.448365557
brca_metabric	MB-0480	5.667836075
brca_metabric	MB-0481	5.231787677
brca_metabric	MB-0482	5.867330672
brca_metabric	MB-0483	5.461533031
brca_metabric	MB-0484	5.526363102
brca_metabric	MB-0485	5.961796002
brca_metabric	MB-0486	6.705286349
brca_metabric	MB-0487	6.064571862
brca_metabric	MB-0488	5.424102972
brca_metabric	MB-0489	5.359327288
brca_metabric	MB-0490	5.56947169
brca_metabric	MB-0491	5.237193981
brca_metabric	MB-0492	8.170662689
brca_metabric	MB-0494	8.360593046
brca_metabric	MB-0495	5.429442216
brca_metabric	MB-0496	5.445550838
brca_metabric	MB-0497	5.314070178
