STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-3031	-0.2352
brca_metabric	MB-3032	-0.4095
brca_metabric	MB-3033	0.897
brca_metabric	MB-3035	-0.6797
brca_metabric	MB-3037	0.8485
brca_metabric	MB-3046	-0.8186
brca_metabric	MB-3049	-0.7656
brca_metabric	MB-3050	-0.6585
brca_metabric	MB-3057	-0.5041
brca_metabric	MB-3058	-0.4702
brca_metabric	MB-3060	1.1451
brca_metabric	MB-3062	-0.8975
brca_metabric	MB-3063	-0.419
brca_metabric	MB-3064	-0.2755
brca_metabric	MB-3067	-0.9393
brca_metabric	MB-3079	-0.3005
brca_metabric	MB-3083	-0.5214
brca_metabric	MB-3085	-0.8639
brca_metabric	MB-3088	-0.4695
brca_metabric	MB-3092	3.5648
brca_metabric	MB-3102	0.9881
brca_metabric	MB-3103	1.8744
brca_metabric	MB-3104	0.3303
brca_metabric	MB-3105	0.5835
brca_metabric	MB-3110	-0.2422
brca_metabric	MB-3121	4.2047
brca_metabric	MB-3122	-0.4228
brca_metabric	MB-3123	-0.465
brca_metabric	MB-3153	-0.8527
brca_metabric	MB-3165	-0.5112
brca_metabric	MB-3167	0.0116
brca_metabric	MB-3171	1.8266
brca_metabric	MB-3181	1.1189
brca_metabric	MB-3211	-0.7652
brca_metabric	MB-3218	-0.6261
brca_metabric	MB-3222	-0.7456
brca_metabric	MB-3228	-0.745
brca_metabric	MB-3235	-0.6575
brca_metabric	MB-3252	-0.4465
brca_metabric	MB-3253	-0.3835
brca_metabric	MB-3254	-0.5539
brca_metabric	MB-3266	-0.6317
brca_metabric	MB-3271	-0.9483
brca_metabric	MB-3272	0.132
brca_metabric	MB-3275	1.9467
brca_metabric	MB-3277	-0.6923
brca_metabric	MB-3292	-0.5373
brca_metabric	MB-3295	-0.8347
brca_metabric	MB-3297	-0.531
brca_metabric	MB-3298	-0.4097
brca_metabric	MB-3300	-0.6766
brca_metabric	MB-3301	-0.4055
brca_metabric	MB-3303	-0.4971
brca_metabric	MB-3328	-0.4489
brca_metabric	MB-3329	1.0705
brca_metabric	MB-3341	-0.383
brca_metabric	MB-3344	-0.4914
brca_metabric	MB-3350	2.2604
brca_metabric	MB-3351	-0.3715
brca_metabric	MB-3355	-0.3808
brca_metabric	MB-3357	0.2104
brca_metabric	MB-3360	-0.0193
brca_metabric	MB-3361	0.9796
brca_metabric	MB-3363	-0.7141
brca_metabric	MB-3365	1.9454
brca_metabric	MB-3367	-0.2249
brca_metabric	MB-3371	-0.5716
brca_metabric	MB-3378	-0.3631
brca_metabric	MB-3379	-0.3248
brca_metabric	MB-3381	-0.0307
brca_metabric	MB-3382	0.2239
brca_metabric	MB-3383	-0.342
brca_metabric	MB-3386	2.5021
brca_metabric	MB-3388	-0.24
brca_metabric	MB-3389	1.3338
brca_metabric	MB-3395	-0.7362
brca_metabric	MB-3396	-0.1729
brca_metabric	MB-3402	0.0217
brca_metabric	MB-3403	-0.6261
brca_metabric	MB-3412	1.894
brca_metabric	MB-3417	0.8744
brca_metabric	MB-3429	-0.7434
brca_metabric	MB-3430	-0.1994
brca_metabric	MB-3435	2.4202
brca_metabric	MB-3436	-0.5575
brca_metabric	MB-3437	2.4726
brca_metabric	MB-3439	0.2743
brca_metabric	MB-3450	2.3523
brca_metabric	MB-3452	1.5156
brca_metabric	MB-3453	-0.4768
brca_metabric	MB-3459	-0.4411
brca_metabric	MB-3462	-0.625
brca_metabric	MB-3466	-0.3348
brca_metabric	MB-3467	-0.468
brca_metabric	MB-3470	-0.643
brca_metabric	MB-3476	-0.5488
brca_metabric	MB-3479	-0.8153
brca_metabric	MB-3487	-0.5106
brca_metabric	MB-3488	-0.3247
brca_metabric	MB-3490	0.3299
brca_metabric	MB-3492	-0.4159
brca_metabric	MB-3497	-0.3948
brca_metabric	MB-3500	-0.9452
brca_metabric	MB-3502	-0.153
brca_metabric	MB-3506	0.7409
brca_metabric	MB-3510	-0.2006
brca_metabric	MB-3525	0.1442
brca_metabric	MB-3526	-0.489
brca_metabric	MB-3528	0.0495
brca_metabric	MB-3530	-0.7011
brca_metabric	MB-3536	-0.8521
brca_metabric	MB-3545	-0.8016
brca_metabric	MB-3548	-0.8449
brca_metabric	MB-3556	3.0253
brca_metabric	MB-3567	-0.6791
brca_metabric	MB-3576	1.5707
brca_metabric	MB-3582	-0.7287
brca_metabric	MB-3600	-0.3589
brca_metabric	MB-3606	-0.5061
brca_metabric	MB-3614	0.0514
brca_metabric	MB-3702	-0.7401
brca_metabric	MB-3706	-0.9357
