STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-0541	0.945
brca_metabric	MB-0542	-0.7308
brca_metabric	MB-0544	-0.6731
brca_metabric	MB-0545	0.9761
brca_metabric	MB-0550	0.4607
brca_metabric	MB-0551	-0.0381
brca_metabric	MB-0552	-0.0819
brca_metabric	MB-0553	0.0456
brca_metabric	MB-0554	2.0735
brca_metabric	MB-0558	0.1099
brca_metabric	MB-0559	1.7228
brca_metabric	MB-0568	0.2931
brca_metabric	MB-0569	0.982
brca_metabric	MB-0570	1.0838
brca_metabric	MB-0571	1.5432
brca_metabric	MB-0573	0.486
brca_metabric	MB-0574	1.8105
brca_metabric	MB-0575	-0.9417
brca_metabric	MB-0576	1.5598
brca_metabric	MB-0577	1.1269
brca_metabric	MB-0578	0.0615
brca_metabric	MB-0579	-0.4459
brca_metabric	MB-0580	0.0697
brca_metabric	MB-0581	-0.1262
brca_metabric	MB-0582	-1.3866
brca_metabric	MB-0583	-0.7783
brca_metabric	MB-0584	-0.5956
brca_metabric	MB-0585	-0.4463
brca_metabric	MB-0586	-0.7878
brca_metabric	MB-0587	0.764
brca_metabric	MB-0588	-0.0679
brca_metabric	MB-0589	-0.4404
brca_metabric	MB-0590	2.3341
brca_metabric	MB-0591	-0.9005
brca_metabric	MB-0593	0.3294
brca_metabric	MB-0594	0.0653
brca_metabric	MB-0596	-0.1898
brca_metabric	MB-0597	-0.2763
brca_metabric	MB-0598	0.5296
brca_metabric	MB-0599	-1.327
brca_metabric	MB-0600	1.8278
brca_metabric	MB-0601	0.0548
brca_metabric	MB-0603	-0.3516
brca_metabric	MB-0605	0.4351
brca_metabric	MB-0606	-1.2592
brca_metabric	MB-0607	-0.0303
brca_metabric	MB-0608	0.0981
brca_metabric	MB-0609	-0.0637
brca_metabric	MB-0610	-0.5817
brca_metabric	MB-0611	0.6551
brca_metabric	MB-0613	-0.8893
brca_metabric	MB-0614	0.2128
brca_metabric	MB-0615	-0.6952
brca_metabric	MB-0616	-0.7504
brca_metabric	MB-0617	-0.3562
brca_metabric	MB-0618	-0.4587
brca_metabric	MB-0619	0.5018
brca_metabric	MB-0620	-0.5893
brca_metabric	MB-0621	-0.0571
brca_metabric	MB-0623	-0.1368
brca_metabric	MB-0624	0.2004
brca_metabric	MB-0626	-0.7239
brca_metabric	MB-0627	-0.5459
brca_metabric	MB-0628	0.7674
brca_metabric	MB-0630	0.6113
brca_metabric	MB-0631	-1.1512
brca_metabric	MB-0632	-1.3353
brca_metabric	MB-0634	1.6105
brca_metabric	MB-0636	-0.5235
brca_metabric	MB-0637	0.7707
brca_metabric	MB-0638	-0.1615
brca_metabric	MB-0639	0.8279
brca_metabric	MB-0640	1.7131
brca_metabric	MB-0641	0.0639
brca_metabric	MB-0642	-1.0568
brca_metabric	MB-0643	-0.2212
brca_metabric	MB-0644	-0.3312
brca_metabric	MB-0646	0.2297
brca_metabric	MB-0649	1.0197
brca_metabric	MB-0650	-0.2832
brca_metabric	MB-0652	-0.8598
brca_metabric	MB-0653	1.3485
brca_metabric	MB-0654	0.4397
brca_metabric	MB-0655	-0.2373
brca_metabric	MB-0656	0.1452
brca_metabric	MB-0657	-0.1755
brca_metabric	MB-0658	1.2047
brca_metabric	MB-0659	1.4646
brca_metabric	MB-0660	-1.1211
brca_metabric	MB-0661	-0.256
brca_metabric	MB-0662	-1.0484
brca_metabric	MB-0663	-1.087
brca_metabric	MB-0664	-1.2798
brca_metabric	MB-0666	0.572
brca_metabric	MB-0869	0.0478
brca_metabric	MB-0872	1.5464
brca_metabric	MB-0874	2.6413
brca_metabric	MB-0877	0.5041
brca_metabric	MB-0880	-1.1045
brca_metabric	MB-0882	1.9628
brca_metabric	MB-0884	-0.354
brca_metabric	MB-0891	-0.3136
brca_metabric	MB-0893	0.3157
brca_metabric	MB-0895	-1.0583
brca_metabric	MB-0897	0.3217
brca_metabric	MB-0899	-0.0848
brca_metabric	MB-0901	0.8297
brca_metabric	MB-0904	-0.236
brca_metabric	MB-0906	-1.4411
brca_metabric	MB-2513	-0.2373
brca_metabric	MB-2517	0.2254
brca_metabric	MB-2536	0.509
brca_metabric	MB-2556	0.842
brca_metabric	MB-2564	0.4608
brca_metabric	MB-2610	-0.2226
brca_metabric	MB-2613	0.6464
brca_metabric	MB-2614	0.3353
brca_metabric	MB-2616	0.3858
brca_metabric	MB-2617	-0.4249
brca_metabric	MB-2618	0.3577
brca_metabric	MB-2624	-0.2527
brca_metabric	MB-2626	-0.0257
brca_metabric	MB-2629	-2.1151
brca_metabric	MB-2632	2.0425
brca_metabric	MB-2634	2.2994
brca_metabric	MB-2642	0.2982
brca_metabric	MB-2643	-0.3218
brca_metabric	MB-2645	-0.802
brca_metabric	MB-2669	0.324
brca_metabric	MB-2686	-0.4658
brca_metabric	MB-2705	-0.1126
brca_metabric	MB-2708	-0.5253
brca_metabric	MB-2711	-0.1734
brca_metabric	MB-2712	-0.0621
brca_metabric	MB-2718	-1.7854
brca_metabric	MB-2721	-0.4101
brca_metabric	MB-2724	-0.1467
brca_metabric	MB-2725	-0.1336
brca_metabric	MB-2728	1.3671
brca_metabric	MB-2730	-0.7756
brca_metabric	MB-2735	-0.5627
brca_metabric	MB-2742	-0.3595
brca_metabric	MB-2744	-0.7118
brca_metabric	MB-2745	-1.3633
brca_metabric	MB-2747	-0.124
brca_metabric	MB-2749	-1.1183
brca_metabric	MB-2750	-1.1781
brca_metabric	MB-2752	-0.6311
brca_metabric	MB-2753	0.5319
brca_metabric	MB-2754	-0.8283
brca_metabric	MB-2758	-0.3394
brca_metabric	MB-2760	-0.5337
brca_metabric	MB-2763	-0.8728
brca_metabric	MB-2764	-0.637
brca_metabric	MB-2765	0.1461
brca_metabric	MB-2767	0.5842
brca_metabric	MB-2769	-0.4483
brca_metabric	MB-2770	-0.6868
brca_metabric	MB-2771	-0.1451
brca_metabric	MB-2772	0.9991
brca_metabric	MB-2774	0.5431
brca_metabric	MB-2778	-0.8583
brca_metabric	MB-2779	-0.5544
brca_metabric	MB-2781	-0.0444
brca_metabric	MB-2786	-0.1021
brca_metabric	MB-2790	-0.4081
brca_metabric	MB-2791	-1.1096
brca_metabric	MB-2792	-0.2883
brca_metabric	MB-2793	0.6428
brca_metabric	MB-2795	0.282
brca_metabric	MB-2796	1.7364
brca_metabric	MB-2797	0.0068
brca_metabric	MB-2801	-0.5431
brca_metabric	MB-2803	-0.2659
brca_metabric	MB-2814	-0.8087
brca_metabric	MB-2815	-0.6854
brca_metabric	MB-2819	-0.5258
brca_metabric	MB-2820	-0.9814
brca_metabric	MB-2821	0.2833
brca_metabric	MB-2823	-0.5125
brca_metabric	MB-2827	0.2978
brca_metabric	MB-2833	0.9577
brca_metabric	MB-2834	-1.0101
brca_metabric	MB-2835	-0.5229
brca_metabric	MB-2838	-0.0271
brca_metabric	MB-2840	-0.2363
brca_metabric	MB-2842	-2.2196
brca_metabric	MB-2843	0.8544
brca_metabric	MB-2844	0.9915
brca_metabric	MB-2845	-0.3899
brca_metabric	MB-2846	-0.2625
brca_metabric	MB-2847	-0.7278
brca_metabric	MB-2848	0.8108
brca_metabric	MB-2849	-0.1333
brca_metabric	MB-2850	-0.9807
brca_metabric	MB-2851	0.8402
brca_metabric	MB-2853	0.0336
brca_metabric	MB-2854	1.2444
brca_metabric	MB-2857	0.3122
brca_metabric	MB-2858	-0.0734
brca_metabric	MB-2863	0.7753
brca_metabric	MB-2867	-0.5693
brca_metabric	MB-2895	-0.5739
brca_metabric	MB-2896	0.0398
brca_metabric	MB-2900	-0.7675
brca_metabric	MB-2901	0.0523
brca_metabric	MB-2904	-0.0125
brca_metabric	MB-2912	-0.4004
brca_metabric	MB-2916	0.3336
brca_metabric	MB-2917	-0.3109
brca_metabric	MB-2919	-0.627
brca_metabric	MB-2922	-0.1591
brca_metabric	MB-2923	1.2796
brca_metabric	MB-2927	-0.7532
brca_metabric	MB-2929	0.8893
brca_metabric	MB-2931	0.1587
brca_metabric	MB-2932	0.974
brca_metabric	MB-2933	-0.6275
brca_metabric	MB-2939	0.3569
brca_metabric	MB-2944	-0.7149
brca_metabric	MB-2947	-0.1963
brca_metabric	MB-2951	0.6244
brca_metabric	MB-2952	0.74
brca_metabric	MB-2953	0.0631
brca_metabric	MB-2954	-0.0418
brca_metabric	MB-2957	-0.2177
brca_metabric	MB-2960	1.0515
brca_metabric	MB-2963	0.0863
brca_metabric	MB-2964	-0.6107
brca_metabric	MB-2966	0.1947
brca_metabric	MB-2969	1.5286
brca_metabric	MB-2970	0.1899
brca_metabric	MB-2971	0.2854
brca_metabric	MB-2977	0.1334
