STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-0436	7.243584088
brca_metabric	MB-0437	6.653797025
brca_metabric	MB-0438	6.561085375
brca_metabric	MB-0439	6.682470456
brca_metabric	MB-0440	6.897834799
brca_metabric	MB-0442	6.89040848
brca_metabric	MB-0443	6.875474012
brca_metabric	MB-0444	7.271576114
brca_metabric	MB-0445	7.443535347
brca_metabric	MB-0446	7.599706861
brca_metabric	MB-0449	7.052238561
brca_metabric	MB-0451	6.909636192
brca_metabric	MB-0452	7.579938414
brca_metabric	MB-0453	6.556794974
brca_metabric	MB-0454	6.374508411
brca_metabric	MB-0455	6.751519818
brca_metabric	MB-0458	7.035519766
brca_metabric	MB-0459	8.079349858
brca_metabric	MB-0460	6.935759297
brca_metabric	MB-0462	8.178896505
brca_metabric	MB-0463	6.47335956
brca_metabric	MB-0464	7.037958404
brca_metabric	MB-0465	6.89569269
brca_metabric	MB-0466	6.206203978
brca_metabric	MB-0467	6.521591465
brca_metabric	MB-0468	7.051772562
brca_metabric	MB-0469	6.453298808
brca_metabric	MB-0470	6.762951435
brca_metabric	MB-0471	6.853550834
brca_metabric	MB-0472	6.343095878
brca_metabric	MB-0474	6.170781478
brca_metabric	MB-0475	7.496840628
brca_metabric	MB-0476	7.117817542
brca_metabric	MB-0478	6.873466347
brca_metabric	MB-0479	7.361976231
brca_metabric	MB-0480	7.857583111
brca_metabric	MB-0481	6.908067065
brca_metabric	MB-0482	6.677367645
brca_metabric	MB-0483	7.945669066
brca_metabric	MB-0484	6.467731636
brca_metabric	MB-0485	6.999428862
brca_metabric	MB-0486	6.610256664
brca_metabric	MB-0487	6.937595036
brca_metabric	MB-0488	7.067811286
brca_metabric	MB-0489	6.845787734
brca_metabric	MB-0490	7.207344047
brca_metabric	MB-0491	6.645236103
brca_metabric	MB-0492	6.650301768
brca_metabric	MB-0494	7.457547794
brca_metabric	MB-0495	6.563841441
brca_metabric	MB-0496	6.889531692
brca_metabric	MB-0497	6.561419556
brca_metabric	MB-0500	6.79456321
brca_metabric	MB-0501	6.696600323
brca_metabric	MB-0502	6.649599804
brca_metabric	MB-0503	6.716757138
brca_metabric	MB-0504	6.902375532
brca_metabric	MB-0505	6.713200772
brca_metabric	MB-0506	6.627666165
brca_metabric	MB-0507	6.920660043
brca_metabric	MB-0508	6.754154479
brca_metabric	MB-0509	6.338568681
brca_metabric	MB-0510	8.157172697
brca_metabric	MB-0511	6.469479634
brca_metabric	MB-0512	7.226912361
brca_metabric	MB-0513	7.257099209
brca_metabric	MB-0514	6.879392262
brca_metabric	MB-0516	7.180930482
brca_metabric	MB-0517	8.170204677
brca_metabric	MB-0519	7.014547097
brca_metabric	MB-0521	6.810419869
brca_metabric	MB-0522	6.244209842
brca_metabric	MB-0524	6.369213906
brca_metabric	MB-0525	6.769565881
brca_metabric	MB-0526	7.763991235
brca_metabric	MB-0527	6.778913392
brca_metabric	MB-0528	7.081856309
brca_metabric	MB-0529	6.866234005
brca_metabric	MB-0531	6.728510192
brca_metabric	MB-0532	7.274354427
brca_metabric	MB-0534	6.849613092
brca_metabric	MB-0535	6.515302761
brca_metabric	MB-0536	7.371574597
brca_metabric	MB-0537	6.720548589
brca_metabric	MB-0538	7.305980307
brca_metabric	MB-0540	6.718381265
brca_metabric	MB-0541	7.352132269
brca_metabric	MB-0542	6.562813819
brca_metabric	MB-0544	6.588676793
brca_metabric	MB-0545	7.367524737
brca_metabric	MB-0550	7.115905959
brca_metabric	MB-0551	6.87958342
brca_metabric	MB-0552	6.859194201
brca_metabric	MB-0553	6.91877989
brca_metabric	MB-0554	7.92955629
brca_metabric	MB-0558	6.948987845
brca_metabric	MB-0559	7.745974722
brca_metabric	MB-0568	7.035755512
brca_metabric	MB-0569	7.370440572
brca_metabric	MB-0570	7.421091538
brca_metabric	MB-0571	7.653416663
brca_metabric	MB-0573	7.128106254
brca_metabric	MB-0574	7.79152045
brca_metabric	MB-0575	6.468913476
brca_metabric	MB-0576	7.661931621
brca_metabric	MB-0577	7.442612768
brca_metabric	MB-0578	6.926254556
brca_metabric	MB-0579	6.691536874
brca_metabric	MB-0580	6.930086672
brca_metabric	MB-0581	6.838590119
brca_metabric	MB-0582	6.274636258
brca_metabric	MB-0583	6.541557707
brca_metabric	MB-0584	6.623618179
brca_metabric	MB-0585	6.691336117
brca_metabric	MB-0586	6.53732552
brca_metabric	MB-0587	7.263042714
brca_metabric	MB-0588	6.865705575
brca_metabric	MB-0589	6.694042769
brca_metabric	MB-0590	8.068517054
brca_metabric	MB-0591	6.487166257
brca_metabric	MB-0593	7.05302808
brca_metabric	MB-0594	6.928014641
brca_metabric	MB-0596	6.809095217
brca_metabric	MB-0597	6.769179824
brca_metabric	MB-0598	7.149108138
brca_metabric	MB-0599	6.300357622
brca_metabric	MB-0600	7.800547255
brca_metabric	MB-0601	6.923075424
brca_metabric	MB-0603	6.734608385
brca_metabric	MB-0605	7.10361107
brca_metabric	MB-0606	6.329726749
brca_metabric	MB-0607	6.883233461
brca_metabric	MB-0608	6.943428457
brca_metabric	MB-0609	6.867665948
brca_metabric	MB-0610	6.629896444
brca_metabric	MB-0611	7.209902714
brca_metabric	MB-0613	6.492117576
brca_metabric	MB-0614	6.997593458
brca_metabric	MB-0615	6.578776151
brca_metabric	MB-0616	6.554033001
brca_metabric	MB-0617	6.732505367
brca_metabric	MB-0618	6.685689733
brca_metabric	MB-0619	7.135699391
brca_metabric	MB-0620	6.626480526
brca_metabric	MB-0621	6.870718328
brca_metabric	MB-0623	6.833650571
brca_metabric	MB-0624	6.991722729
brca_metabric	MB-0626	6.565879376
brca_metabric	MB-0627	6.646114303
brca_metabric	MB-0628	7.264701796
brca_metabric	MB-0630	7.188645695
brca_metabric	MB-0631	6.376786154
brca_metabric	MB-0632	6.296761076
brca_metabric	MB-0634	7.687978596
brca_metabric	MB-0636	6.656234964
brca_metabric	MB-0637	7.26635885
brca_metabric	MB-0638	6.822209841
brca_metabric	MB-0639	7.294387046
brca_metabric	MB-0640	7.740962346
brca_metabric	MB-0641	6.927380487
brca_metabric	MB-0642	6.418132549
brca_metabric	MB-0643	6.794598832
brca_metabric	MB-0644	6.743990469
brca_metabric	MB-0646	7.0055848
brca_metabric	MB-0649	7.389177277
brca_metabric	MB-0650	6.766015799
brca_metabric	MB-0652	6.505238924
brca_metabric	MB-0653	7.554202991
brca_metabric	MB-0654	7.105810363
brca_metabric	MB-0655	6.787170521
brca_metabric	MB-0656	6.965642602
brca_metabric	MB-0657	6.815748161
brca_metabric	MB-0658	7.481610873
brca_metabric	MB-0659	7.61321659
brca_metabric	MB-0660	6.389963478
brca_metabric	MB-0661	6.778535158
brca_metabric	MB-0662	6.421851874
brca_metabric	MB-0663	6.404898666
brca_metabric	MB-0664	6.320808586
brca_metabric	MB-0666	7.169584234
brca_metabric	MB-0869	6.919825373
brca_metabric	MB-0872	7.655080719
brca_metabric	MB-0874	8.235071787
brca_metabric	MB-0877	7.136788796
brca_metabric	MB-0880	6.397218342
brca_metabric	MB-0882	7.871234464
brca_metabric	MB-0884	6.733511035
brca_metabric	MB-0891	6.752045184
brca_metabric	MB-0893	7.046475844
brca_metabric	MB-0895	6.417501354
brca_metabric	MB-0897	7.049335771
brca_metabric	MB-0899	6.857842971
brca_metabric	MB-0901	7.295257055
brca_metabric	MB-0904	6.787768573
brca_metabric	MB-0906	6.251161569
brca_metabric	MB-2513	6.787157256
brca_metabric	MB-2517	7.003571575
brca_metabric	MB-2536	7.139186096
brca_metabric	MB-2556	7.301330744
brca_metabric	MB-2564	7.11598112
brca_metabric	MB-2610	6.793934182
brca_metabric	MB-2613	7.205700165
brca_metabric	MB-2614	7.055862316
brca_metabric	MB-2616	7.079985259
brca_metabric	MB-2617	6.701095254
brca_metabric	MB-2618	7.06655477
brca_metabric	MB-2624	6.780061278
brca_metabric	MB-2626	6.885385267
brca_metabric	MB-2629	5.96735906
brca_metabric	MB-2632	7.913222335
brca_metabric	MB-2634	8.049907381
brca_metabric	MB-2642	7.038176911
brca_metabric	MB-2643	6.748265761
brca_metabric	MB-2645	6.530990147
brca_metabric	MB-2669	7.050442833
brca_metabric	MB-2686	6.682460808
brca_metabric	MB-2705	6.84492097
brca_metabric	MB-2708	6.655448644
brca_metabric	MB-2711	6.816705965
brca_metabric	MB-2712	6.868418948
brca_metabric	MB-2718	6.104786348
brca_metabric	MB-2721	6.707874036
brca_metabric	MB-2724	6.829057013
brca_metabric	MB-2725	6.83517168
brca_metabric	MB-2728	7.563613318
brca_metabric	MB-2730	6.542756417
brca_metabric	MB-2735	6.638472489
brca_metabric	MB-2742	6.730988732
brca_metabric	MB-2744	6.571327373
brca_metabric	MB-2745	6.284675576
brca_metabric	MB-2747	6.839626619
brca_metabric	MB-2749	6.391179113
brca_metabric	MB-2750	6.365030319
brca_metabric	MB-2752	6.607592956
brca_metabric	MB-2753	7.150207327
brca_metabric	MB-2754	6.519240193
brca_metabric	MB-2758	6.740215216
brca_metabric	MB-2760	6.651616736
brca_metabric	MB-2763	6.499454974
brca_metabric	MB-2764	6.604948239
brca_metabric	MB-2765	6.966044335
brca_metabric	MB-2767	7.17550405
brca_metabric	MB-2769	6.690415861
brca_metabric	MB-2770	6.58252173
brca_metabric	MB-2771	6.829835585
brca_metabric	MB-2772	7.378928832
brca_metabric	MB-2774	7.155647288
brca_metabric	MB-2778	6.505905242
brca_metabric	MB-2779	6.642262035
brca_metabric	MB-2781	6.876683123
brca_metabric	MB-2786	6.849800962
brca_metabric	MB-2790	6.708788511
brca_metabric	MB-2791	6.394998435
brca_metabric	MB-2792	6.763686026
brca_metabric	MB-2793	7.203959347
brca_metabric	MB-2795	7.030473419
brca_metabric	MB-2796	7.753030926
brca_metabric	MB-2797	6.900608456
brca_metabric	MB-2801	6.647352667
brca_metabric	MB-2803	6.773995952
brca_metabric	MB-2814	6.527974041
brca_metabric	MB-2815	6.583190548
brca_metabric	MB-2819	6.65521542
brca_metabric	MB-2820	6.451369326
brca_metabric	MB-2821	7.031077844
brca_metabric	MB-2823	6.661252939
brca_metabric	MB-2827	7.037947195
brca_metabric	MB-2833	7.35842638
brca_metabric	MB-2834	6.438681893
brca_metabric	MB-2835	6.656516344
brca_metabric	MB-2838	6.884727426
brca_metabric	MB-2840	6.787635946
brca_metabric	MB-2842	5.924344808
brca_metabric	MB-2843	7.30744064
brca_metabric	MB-2844	7.375164802
brca_metabric	MB-2845	6.717080176
brca_metabric	MB-2846	6.775556638
brca_metabric	MB-2847	6.564165482
brca_metabric	MB-2848	7.285980324
brca_metabric	MB-2849	6.835282439
brca_metabric	MB-2850	6.451681343
brca_metabric	MB-2851	7.300439833
brca_metabric	MB-2853	6.913154915
