STUDY_ID	SAMPLE_ID	AKR1C3
brca_igr_2015	MBC_48	NA
brca_igr_2015	MBC_49	NA
brca_igr_2015	MBC_50	NA
brca_igr_2015	MBC_51	NA
brca_igr_2015	MBC_52	NA
brca_igr_2015	MBC_53	NA
brca_igr_2015	MBC_54	NA
brca_igr_2015	MBC_55	NA
brca_igr_2015	MBC_56	NA
brca_igr_2015	MBC_57	NA
brca_igr_2015	MBC_58	NA
brca_igr_2015	MBC_59	NA
brca_igr_2015	MBC_60	NA
brca_igr_2015	MBC_61	NA
brca_igr_2015	MBC_62	NA
brca_igr_2015	MBC_63	NA
brca_igr_2015	MBC_64	NA
brca_igr_2015	MBC_65	NA
brca_igr_2015	MBC_66	NA
brca_igr_2015	MBC_67	NA
brca_igr_2015	MBC_68	NA
brca_igr_2015	MBC_69	NA
brca_igr_2015	MBC_70	NA
brca_igr_2015	MBC_71	NA
brca_igr_2015	MBC_72	NA
brca_igr_2015	MBC_73	NA
brca_igr_2015	MBC_74	NA
brca_igr_2015	MBC_75	NA
brca_igr_2015	MBC_76	NA
brca_igr_2015	MBC_77	NA
brca_igr_2015	MBC_78	NA
brca_igr_2015	MBC_79	NA
brca_igr_2015	MBC_80	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_GvHkH2Hk-Tumor-SM-AZ5H9	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGMGK	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGLTK	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_K7f6fdUz-Tumor-SM-AZ5MA	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_xBfJfri9-Tumor-SM-CGL4F	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGMH7	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGM9N	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_VrsMsqTb-Tumor-SM-CGLRO	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_K0UDUnFE-Tumor-SM-AZ5FD	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_RKf1frsr-Tumor-SM-AZ5L1	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_kwS1CXSR-Tumor-SM-DL4SG	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_gotjfgf0-Tumor-SM-CGL7K	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_3jhES9fq-Tumor-SM-AXGIU	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_rmSBIguN-Tumor-SM-DL385	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_rmSBIguN-Tumor-SM-DL3N8	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_KphMt4F9-Tumor-SM-DL4PB	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_KphMt4F9-Tumor-SM-DL4RT	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_bAi0Slsx-Tumor-SM-CGMFB	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_BOHWtZT8-Tumor-SM-CGLQF	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_kAFQF3t6-Tumor-SM-DL36W	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_5jSPs9fl-Tumor-SM-CGL1A	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_PASlTyTy-Tumor-SM-DL473	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_AqtYu0IW-Tumor-SM-DL3YJ	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_gjhMuoha-Tumor-SM-AXGGJ	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_PzUBH7I3-Tumor-SM-CGLNW	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_ePi1smiM-Tumor-SM-AZ5OS	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_7JtRIPI2-Tumor-SM-CGLXC	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_7JtRIPI2-Tumor-SM-CGMAW	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_NDIbs9i6-Tumor-SM-DL4VL	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_ZPHRs3Uw-Tumor-SM-DL3BA	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGM1H	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGMCS	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGLUT	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_3MUnT7Ty-Tumor-SM-CGLLE	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_7OcOivcV-Tumor-SM-DL44K	NA
