STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-3032	7.073874929
brca_metabric	MB-3033	7.083620636
brca_metabric	MB-3035	6.968486388
brca_metabric	MB-3037	7.236523946
brca_metabric	MB-3046	9.307314644
brca_metabric	MB-3049	8.560473592
brca_metabric	MB-3050	6.013835355
brca_metabric	MB-3057	9.777578702
brca_metabric	MB-3058	7.767443658
brca_metabric	MB-3060	5.94413972
brca_metabric	MB-3062	9.771834621
brca_metabric	MB-3063	8.453443455
brca_metabric	MB-3064	6.538452923
brca_metabric	MB-3067	7.168099197
brca_metabric	MB-3079	6.537295991
brca_metabric	MB-3083	5.892817062
brca_metabric	MB-3085	6.813084641
brca_metabric	MB-3088	8.308769174
brca_metabric	MB-3092	5.820019657
brca_metabric	MB-3102	6.110861267
brca_metabric	MB-3103	6.461399735
brca_metabric	MB-3104	8.206162951
brca_metabric	MB-3105	5.70701173
brca_metabric	MB-3110	7.251492599
brca_metabric	MB-3121	6.883435142
brca_metabric	MB-3122	6.059260263
brca_metabric	MB-3123	8.703026635
brca_metabric	MB-3153	9.36661282
brca_metabric	MB-3165	9.666437871
brca_metabric	MB-3167	8.05729584
brca_metabric	MB-3171	6.602613345
brca_metabric	MB-3181	6.420501699
brca_metabric	MB-3211	6.781322019
brca_metabric	MB-3218	6.572700531
brca_metabric	MB-3222	7.026469845
brca_metabric	MB-3228	6.899071014
brca_metabric	MB-3235	7.869075864
brca_metabric	MB-3252	7.848576171
brca_metabric	MB-3253	6.23409869
brca_metabric	MB-3254	6.877995655
brca_metabric	MB-3266	6.298913051
brca_metabric	MB-3271	6.992255277
brca_metabric	MB-3272	6.096012186
brca_metabric	MB-3275	6.22267963
brca_metabric	MB-3277	8.488269595
brca_metabric	MB-3292	7.235526499
brca_metabric	MB-3295	6.958676453
brca_metabric	MB-3297	6.09481588
brca_metabric	MB-3298	7.510717926
brca_metabric	MB-3300	9.094397818
brca_metabric	MB-3301	7.185338897
brca_metabric	MB-3303	5.924879303
brca_metabric	MB-3328	6.803771036
brca_metabric	MB-3329	6.411960962
brca_metabric	MB-3341	5.825367599
brca_metabric	MB-3344	6.524780231
brca_metabric	MB-3350	6.372203298
brca_metabric	MB-3351	5.890897897
brca_metabric	MB-3355	7.286023269
brca_metabric	MB-3357	8.147847128
brca_metabric	MB-3360	7.380040606
brca_metabric	MB-3361	6.526458886
brca_metabric	MB-3363	9.512473415
brca_metabric	MB-3365	6.300217987
brca_metabric	MB-3367	7.78377054
brca_metabric	MB-3371	6.53849046
brca_metabric	MB-3378	6.641107524
brca_metabric	MB-3379	6.330980175
brca_metabric	MB-3381	7.794208207
brca_metabric	MB-3382	6.13890925
brca_metabric	MB-3383	7.40907305
brca_metabric	MB-3386	5.92688178
brca_metabric	MB-3388	5.976985119
brca_metabric	MB-3389	6.052471899
brca_metabric	MB-3395	8.078202467
brca_metabric	MB-3396	8.470525161
brca_metabric	MB-3402	6.134528257
brca_metabric	MB-3403	7.187109091
brca_metabric	MB-3412	7.341227811
brca_metabric	MB-3417	6.655945838
brca_metabric	MB-3429	7.120965996
brca_metabric	MB-3430	6.275631824
brca_metabric	MB-3435	6.059424678
brca_metabric	MB-3436	5.797704776
brca_metabric	MB-3437	5.902331184
brca_metabric	MB-3439	7.434020958
brca_metabric	MB-3450	6.367400686
brca_metabric	MB-3452	7.257926424
brca_metabric	MB-3453	9.02671591
brca_metabric	MB-3459	6.658934292
brca_metabric	MB-3462	6.239527637
brca_metabric	MB-3466	8.514045226
brca_metabric	MB-3467	8.613162335
brca_metabric	MB-3470	6.78713203
brca_metabric	MB-3476	7.563745302
brca_metabric	MB-3479	8.337606629
brca_metabric	MB-3487	6.173272517
brca_metabric	MB-3488	7.299664893
brca_metabric	MB-3490	6.556436491
brca_metabric	MB-3492	6.879657582
brca_metabric	MB-3497	7.861863097
brca_metabric	MB-3500	7.643010342
brca_metabric	MB-3502	6.496193329
brca_metabric	MB-3506	6.032885758
brca_metabric	MB-3510	6.262113614
