STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0417	0.353
brca_metabric	MB-0418	-0.8029
brca_metabric	MB-0419	1.4086
brca_metabric	MB-0420	0.0549
brca_metabric	MB-0421	-0.2485
brca_metabric	MB-0422	0.1667
brca_metabric	MB-0424	1.1525
brca_metabric	MB-0425	-0.923
brca_metabric	MB-0426	-0.0697
brca_metabric	MB-0427	1.217
brca_metabric	MB-0428	0.4349
brca_metabric	MB-0429	0.6837
brca_metabric	MB-0431	1.8333
brca_metabric	MB-0434	0.3979
brca_metabric	MB-0436	1.5277
brca_metabric	MB-0437	-0.4089
brca_metabric	MB-0438	-1.3997
brca_metabric	MB-0439	-1.3375
brca_metabric	MB-0440	-0.3676
brca_metabric	MB-0442	0.3542
brca_metabric	MB-0443	-0.447
brca_metabric	MB-0444	-0.9209
brca_metabric	MB-0445	0.3039
brca_metabric	MB-0446	3.0885
brca_metabric	MB-0449	0.0147
brca_metabric	MB-0451	-0.4399
brca_metabric	MB-0452	0.2552
brca_metabric	MB-0453	-0.8545
brca_metabric	MB-0454	-0.8085
brca_metabric	MB-0455	0.6701
brca_metabric	MB-0458	0.0773
brca_metabric	MB-0459	0.0216
brca_metabric	MB-0460	2.1337
brca_metabric	MB-0462	-1.4915
brca_metabric	MB-0463	-1.3086
brca_metabric	MB-0464	-0.0229
brca_metabric	MB-0465	0.3248
brca_metabric	MB-0466	-0.6213
brca_metabric	MB-0467	1.5715
brca_metabric	MB-0468	-1.6067
brca_metabric	MB-0469	0.5853
brca_metabric	MB-0470	1.9084
brca_metabric	MB-0471	-1.778
brca_metabric	MB-0472	-1.6484
brca_metabric	MB-0474	-0.924
brca_metabric	MB-0475	0.2022
brca_metabric	MB-0476	0.2794
brca_metabric	MB-0478	1.6796
brca_metabric	MB-0479	-0.2089
brca_metabric	MB-0480	-0.8812
brca_metabric	MB-0481	0.5419
brca_metabric	MB-0482	0.7786
brca_metabric	MB-0483	-1.259
brca_metabric	MB-0484	-1.7548
brca_metabric	MB-0485	-0.8189
brca_metabric	MB-0486	-0.5256
brca_metabric	MB-0487	1.7598
brca_metabric	MB-0488	1.0162
brca_metabric	MB-0489	-0.1997
brca_metabric	MB-0490	-0.3304
brca_metabric	MB-0491	-1.2361
brca_metabric	MB-0492	1.4629
brca_metabric	MB-0494	2.6443
brca_metabric	MB-0495	2.6494
brca_metabric	MB-0496	1.0777
brca_metabric	MB-0497	-0.6016
brca_metabric	MB-0500	1.3863
brca_metabric	MB-0501	-0.8333
brca_metabric	MB-0502	2.799
brca_metabric	MB-0503	-0.0422
