STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0388	5.709283438
brca_metabric	MB-0389	6.795839266
brca_metabric	MB-0391	6.080179457
brca_metabric	MB-0392	6.265252521
brca_metabric	MB-0393	5.70940562
brca_metabric	MB-0394	5.990786173
brca_metabric	MB-0395	6.798674363
brca_metabric	MB-0396	5.912038232
brca_metabric	MB-0397	5.896129389
brca_metabric	MB-0398	6.748461067
brca_metabric	MB-0399	6.908435491
brca_metabric	MB-0400	7.265319656
brca_metabric	MB-0401	6.839851967
brca_metabric	MB-0402	6.696787866
brca_metabric	MB-0404	6.669854726
brca_metabric	MB-0406	6.439015989
brca_metabric	MB-0410	5.75858414
brca_metabric	MB-0411	5.908535561
brca_metabric	MB-0412	6.450278122
brca_metabric	MB-0413	5.758003751
brca_metabric	MB-0414	5.791915932
brca_metabric	MB-0417	5.60886787
brca_metabric	MB-0418	6.199968397
brca_metabric	MB-0419	6.156113696
brca_metabric	MB-0420	6.490117766
brca_metabric	MB-0421	7.41179059
brca_metabric	MB-0422	5.960048964
brca_metabric	MB-0424	6.428788678
brca_metabric	MB-0425	7.782711819
brca_metabric	MB-0426	6.01169942
brca_metabric	MB-0427	5.430057711
brca_metabric	MB-0428	6.083342437
brca_metabric	MB-0429	5.81842161
brca_metabric	MB-0431	6.575851884
brca_metabric	MB-0434	6.538969154
brca_metabric	MB-0436	6.675723037
brca_metabric	MB-0437	6.127842538
brca_metabric	MB-0438	6.368488748
brca_metabric	MB-0439	5.588557985
brca_metabric	MB-0440	6.007751133
brca_metabric	MB-0442	6.682016046
brca_metabric	MB-0443	5.708037732
brca_metabric	MB-0444	6.320275613
brca_metabric	MB-0445	6.289865116
brca_metabric	MB-0446	7.454586448
brca_metabric	MB-0449	5.698260811
brca_metabric	MB-0451	5.35315998
brca_metabric	MB-0452	7.479116305
brca_metabric	MB-0453	5.965396855
brca_metabric	MB-0454	5.825986086
brca_metabric	MB-0455	5.732299214
brca_metabric	MB-0458	5.531990154
brca_metabric	MB-0459	6.436653993
brca_metabric	MB-0460	6.81603997
brca_metabric	MB-0462	6.795355227
brca_metabric	MB-0463	7.447919837
brca_metabric	MB-0464	6.36217468
brca_metabric	MB-0465	7.37231353
brca_metabric	MB-0466	5.85639015
brca_metabric	MB-0467	8.130603934
brca_metabric	MB-0468	5.620651257
brca_metabric	MB-0469	5.885228035
brca_metabric	MB-0470	5.676286814
brca_metabric	MB-0471	5.538406766
brca_metabric	MB-0472	5.714468815
brca_metabric	MB-0474	6.125897396
brca_metabric	MB-0475	6.482752182
brca_metabric	MB-0476	5.684293147
brca_metabric	MB-0478	5.909628801
brca_metabric	MB-0479	6.197601671
brca_metabric	MB-0480	6.461367181
brca_metabric	MB-0481	6.107887425
brca_metabric	MB-0482	6.205291862
brca_metabric	MB-0483	5.773599169
brca_metabric	MB-0484	6.38179079
brca_metabric	MB-0485	5.614693267
brca_metabric	MB-0486	5.887660491
brca_metabric	MB-0487	5.49167016
brca_metabric	MB-0488	5.797061263
brca_metabric	MB-0489	5.781567666
brca_metabric	MB-0490	6.050872596
brca_metabric	MB-0491	6.715939688
brca_metabric	MB-0492	5.452528005
brca_metabric	MB-0494	6.963870091
brca_metabric	MB-0495	8.046775714
brca_metabric	MB-0496	5.994635525
brca_metabric	MB-0497	5.630204816
brca_metabric	MB-0500	6.731147046
brca_metabric	MB-0501	5.832148986
brca_metabric	MB-0502	6.466332516
brca_metabric	MB-0503	6.211188887
brca_metabric	MB-0504	6.181126947
brca_metabric	MB-0505	6.27492233
brca_metabric	MB-0506	6.317763095
brca_metabric	MB-0507	6.403010003
brca_metabric	MB-0508	5.964341726
brca_metabric	MB-0509	5.48957604
brca_metabric	MB-0510	5.541065915
brca_metabric	MB-0511	7.237719495
brca_metabric	MB-0512	7.505845481
brca_metabric	MB-0513	6.241837461
brca_metabric	MB-0514	7.078642744
brca_metabric	MB-0516	7.228935787
brca_metabric	MB-0517	5.652682668
brca_metabric	MB-0519	5.462076796
brca_metabric	MB-0521	6.280894265
brca_metabric	MB-0522	5.922230477
brca_metabric	MB-0524	7.179045531
brca_metabric	MB-0525	7.299691495
brca_metabric	MB-0526	7.501346988
brca_metabric	MB-0527	5.566716094
brca_metabric	MB-0528	6.150882317
brca_metabric	MB-0529	5.872137468
brca_metabric	MB-0531	5.254466849
brca_metabric	MB-0532	6.469289143
brca_metabric	MB-0534	5.413308514
brca_metabric	MB-0535	6.175087995
brca_metabric	MB-0536	6.343631869
brca_metabric	MB-0537	5.888599487
