STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0534	-1.2908
brca_metabric	MB-0535	0.4049
brca_metabric	MB-0536	0.7557
brca_metabric	MB-0537	-0.2107
brca_metabric	MB-0538	0.173
brca_metabric	MB-0540	-1.1622
brca_metabric	MB-0541	-0.1187
brca_metabric	MB-0542	-0.5128
brca_metabric	MB-0544	0.9972
brca_metabric	MB-0545	0.4739
brca_metabric	MB-0550	0.485
brca_metabric	MB-0551	-0.8307
brca_metabric	MB-0552	0.9834
brca_metabric	MB-0553	-1.4632
brca_metabric	MB-0554	3.1017
brca_metabric	MB-0558	0.0135
brca_metabric	MB-0559	0.6148
brca_metabric	MB-0568	-0.2086
brca_metabric	MB-0569	1.4073
brca_metabric	MB-0570	-1.0387
brca_metabric	MB-0571	1.0011
brca_metabric	MB-0573	-0.5639
brca_metabric	MB-0574	0.2812
brca_metabric	MB-0575	1.8735
brca_metabric	MB-0576	1.217
brca_metabric	MB-0577	-1.4971
brca_metabric	MB-0578	-1.0194
brca_metabric	MB-0579	1.7764
brca_metabric	MB-0580	0.9603
brca_metabric	MB-0581	2.1734
brca_metabric	MB-0582	-0.2374
brca_metabric	MB-0583	0.7528
brca_metabric	MB-0584	0.0296
brca_metabric	MB-0585	1.2392
brca_metabric	MB-0586	0.173
brca_metabric	MB-0587	0.2437
brca_metabric	MB-0588	0.4715
brca_metabric	MB-0589	1.269
brca_metabric	MB-0590	-0.8455
brca_metabric	MB-0591	0.8506
brca_metabric	MB-0593	1.6133
brca_metabric	MB-0594	0.2627
brca_metabric	MB-0596	0.7091
brca_metabric	MB-0597	1.3654
brca_metabric	MB-0598	0.9291
brca_metabric	MB-0599	2.7865
brca_metabric	MB-0600	1.0024
brca_metabric	MB-0601	2.3621
brca_metabric	MB-0603	1.2526
brca_metabric	MB-0605	0.8674
brca_metabric	MB-0606	-0.1191
brca_metabric	MB-0607	0.0869
brca_metabric	MB-0608	0.5006
brca_metabric	MB-0609	0.178
brca_metabric	MB-0610	1.9481
brca_metabric	MB-0611	0.8591
brca_metabric	MB-0613	3.4607
brca_metabric	MB-0614	-0.017
brca_metabric	MB-0615	-0.2431
brca_metabric	MB-0616	1.3394
brca_metabric	MB-0617	-0.3915
brca_metabric	MB-0618	1.538
brca_metabric	MB-0619	-0.6774
brca_metabric	MB-0620	-1.3141
brca_metabric	MB-0621	-0.4015
brca_metabric	MB-0623	1.7966
brca_metabric	MB-0624	-1.0024
brca_metabric	MB-0626	0.5663
brca_metabric	MB-0627	0.4785
brca_metabric	MB-0628	1.792
brca_metabric	MB-0630	0.292
brca_metabric	MB-0631	-0.443
brca_metabric	MB-0632	2.118
brca_metabric	MB-0634	-1.1681
brca_metabric	MB-0636	2.3382
brca_metabric	MB-0637	-0.5112
brca_metabric	MB-0638	-0.4568
brca_metabric	MB-0639	1.7914
brca_metabric	MB-0640	-0.3009
brca_metabric	MB-0641	0.5115
brca_metabric	MB-0642	0.4132
brca_metabric	MB-0643	1.4479
brca_metabric	MB-0644	0.8388
brca_metabric	MB-0646	-0.6308
brca_metabric	MB-0649	1.6782
brca_metabric	MB-0650	-0.3441
brca_metabric	MB-0652	3.7215
brca_metabric	MB-0653	1.0736
brca_metabric	MB-0654	0.0455
brca_metabric	MB-0655	-0.2761
brca_metabric	MB-0656	-0.3438
brca_metabric	MB-0657	-0.1108
brca_metabric	MB-0658	0.2661
brca_metabric	MB-0659	-0.71
brca_metabric	MB-0660	1.5837
brca_metabric	MB-0661	-0.9995
brca_metabric	MB-0662	3.354
brca_metabric	MB-0663	0.1597
brca_metabric	MB-0664	-0.3111
brca_metabric	MB-0666	1.7627
brca_metabric	MB-0869	0.6634
brca_metabric	MB-0872	-0.8124
brca_metabric	MB-0874	-0.7286
brca_metabric	MB-0877	0.3386
brca_metabric	MB-0880	-0.3117
brca_metabric	MB-0882	1.0414
brca_metabric	MB-0884	-1.4009
brca_metabric	MB-0891	-0.0172
brca_metabric	MB-0893	0.9218
brca_metabric	MB-0895	0.2323
brca_metabric	MB-0897	-0.5108
brca_metabric	MB-0899	-0.3482
brca_metabric	MB-0901	0.5085
brca_metabric	MB-0904	0.7239
brca_metabric	MB-0906	0.6265
brca_metabric	MB-2513	0.0187
brca_metabric	MB-2517	-0.3324
brca_metabric	MB-2536	0.307
brca_metabric	MB-2556	-0.8548
brca_metabric	MB-2564	0.0746
brca_metabric	MB-2610	-0.8192
brca_metabric	MB-2613	0.2423
brca_metabric	MB-2614	-0.5974
brca_metabric	MB-2616	0.2806
brca_metabric	MB-2617	1.0403
brca_metabric	MB-2618	-0.7257
brca_metabric	MB-2624	-0.5062
brca_metabric	MB-2626	0.0771
brca_metabric	MB-2629	-0.6491
brca_metabric	MB-2632	-0.5434
brca_metabric	MB-2634	-0.5711
brca_metabric	MB-2642	1.3922
brca_metabric	MB-2643	0.8233
brca_metabric	MB-2645	-0.7003
brca_metabric	MB-2669	2.2798
brca_metabric	MB-2686	0.074
brca_metabric	MB-2705	0.4455
brca_metabric	MB-2708	0.9437
brca_metabric	MB-2711	0.3052
brca_metabric	MB-2712	-0.2082
brca_metabric	MB-2718	-0.3888
brca_metabric	MB-2721	-0.5821
brca_metabric	MB-2724	-1.3268
brca_metabric	MB-2725	-1.6245
brca_metabric	MB-2728	0.2915
brca_metabric	MB-2730	-0.7163
brca_metabric	MB-2735	1.2075
brca_metabric	MB-2742	0.8448
brca_metabric	MB-2744	-0.8341
brca_metabric	MB-2745	-0.9938
brca_metabric	MB-2747	1.4236
brca_metabric	MB-2749	0.5974
brca_metabric	MB-2750	-0.2718
brca_metabric	MB-2752	-0.677
brca_metabric	MB-2753	0.076
brca_metabric	MB-2754	-0.1762
brca_metabric	MB-2758	-0.0722
brca_metabric	MB-2760	0.0813
brca_metabric	MB-2763	-0.184
brca_metabric	MB-2764	0.2079
brca_metabric	MB-2765	-0.2524
brca_metabric	MB-2767	1.6963
brca_metabric	MB-2769	-0.6456
brca_metabric	MB-2770	-0.8521
brca_metabric	MB-2771	0.3811
