STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0568	7.058144621
brca_metabric	MB-0569	6.622317529
brca_metabric	MB-0570	6.877660287
brca_metabric	MB-0571	7.367077022
brca_metabric	MB-0573	8.128110482
brca_metabric	MB-0574	7.191620411
brca_metabric	MB-0575	7.945838303
brca_metabric	MB-0576	6.720914133
brca_metabric	MB-0577	7.224323261
brca_metabric	MB-0578	7.172850115
brca_metabric	MB-0579	8.096064606
brca_metabric	MB-0580	8.85813264
brca_metabric	MB-0581	7.960203232
brca_metabric	MB-0582	6.910956504
brca_metabric	MB-0583	8.237553984
brca_metabric	MB-0584	6.390815849
brca_metabric	MB-0585	6.418825722
brca_metabric	MB-0586	7.128815612
brca_metabric	MB-0587	7.404428382
brca_metabric	MB-0588	8.552085503
brca_metabric	MB-0589	7.169512205
brca_metabric	MB-0590	6.956571836
brca_metabric	MB-0591	6.829475415
brca_metabric	MB-0593	7.001921901
brca_metabric	MB-0594	6.262482677
brca_metabric	MB-0596	6.437494485
brca_metabric	MB-0597	7.582133552
brca_metabric	MB-0598	6.830023236
brca_metabric	MB-0599	7.721064967
brca_metabric	MB-0600	6.718056068
brca_metabric	MB-0601	9.181979694
brca_metabric	MB-0603	6.860707931
brca_metabric	MB-0605	6.986506645
brca_metabric	MB-0606	6.937653535
brca_metabric	MB-0607	6.818042928
brca_metabric	MB-0608	6.935664921
brca_metabric	MB-0609	7.099545942
brca_metabric	MB-0610	6.086205889
brca_metabric	MB-0611	7.131323503
brca_metabric	MB-0613	7.008520854
brca_metabric	MB-0614	6.947861463
brca_metabric	MB-0615	7.229434368
brca_metabric	MB-0616	7.325937424
brca_metabric	MB-0617	8.275683255
brca_metabric	MB-0618	7.791649248
brca_metabric	MB-0619	6.228293231
brca_metabric	MB-0620	7.707163605
brca_metabric	MB-0621	6.614418965
brca_metabric	MB-0623	8.018324644
brca_metabric	MB-0624	7.554547017
brca_metabric	MB-0626	6.231389281
brca_metabric	MB-0627	7.317962029
brca_metabric	MB-0628	7.427948228
brca_metabric	MB-0630	7.400950301
brca_metabric	MB-0631	8.098866971
brca_metabric	MB-0632	7.111973185
brca_metabric	MB-0634	9.201276929
brca_metabric	MB-0636	7.677843695
brca_metabric	MB-0637	7.326662897
brca_metabric	MB-0638	8.113765166
brca_metabric	MB-0639	7.594276844
brca_metabric	MB-0640	6.524600409
brca_metabric	MB-0641	7.862811497
brca_metabric	MB-0642	7.716439277
brca_metabric	MB-0643	7.30539664
brca_metabric	MB-0644	7.519265576
brca_metabric	MB-0646	6.804085166
brca_metabric	MB-0649	6.526944327
brca_metabric	MB-0650	6.141255486
brca_metabric	MB-0652	6.440832096
brca_metabric	MB-0653	7.187302577
brca_metabric	MB-0654	7.291846875
brca_metabric	MB-0655	7.595251366
brca_metabric	MB-0656	7.48808803
brca_metabric	MB-0657	8.51993654
brca_metabric	MB-0658	7.465240425
brca_metabric	MB-0659	8.594116923
brca_metabric	MB-0660	7.036368354
brca_metabric	MB-0661	9.097008172
brca_metabric	MB-0662	7.310343081
brca_metabric	MB-0663	7.780338514
brca_metabric	MB-0664	7.114450906
brca_metabric	MB-0666	7.145378656
brca_metabric	MB-0869	7.430547105
brca_metabric	MB-0872	6.673764276
brca_metabric	MB-0874	7.087427753
brca_metabric	MB-0877	6.883093947
brca_metabric	MB-0880	7.719329192
brca_metabric	MB-0882	6.898215235
brca_metabric	MB-0884	5.984359328
brca_metabric	MB-0891	7.967830514
brca_metabric	MB-0893	7.289788719
brca_metabric	MB-0895	7.749552692
brca_metabric	MB-0897	6.838931896
brca_metabric	MB-0899	6.957385913
brca_metabric	MB-0901	6.632062809
brca_metabric	MB-0904	7.275138508
brca_metabric	MB-0906	7.070081582
brca_metabric	MB-2513	7.601947496
brca_metabric	MB-2517	8.890810132
brca_metabric	MB-2536	7.444730417
brca_metabric	MB-2556	7.772854889
brca_metabric	MB-2564	7.601112374
brca_metabric	MB-2610	7.556796355
brca_metabric	MB-2613	5.904906193
brca_metabric	MB-2614	7.006603226
brca_metabric	MB-2616	7.323875584
brca_metabric	MB-2617	7.026758495
brca_metabric	MB-2618	7.715029099
brca_metabric	MB-2624	7.896700496
brca_metabric	MB-2626	7.252636336
brca_metabric	MB-2629	6.85000036
brca_metabric	MB-2632	6.951587377
brca_metabric	MB-2634	6.373126892
brca_metabric	MB-2642	7.498271228
brca_metabric	MB-2643	7.984763806
brca_metabric	MB-2645	7.170336626
brca_metabric	MB-2669	8.192158285
brca_metabric	MB-2686	6.667621325
brca_metabric	MB-2705	7.224007081
brca_metabric	MB-2708	7.078069345
brca_metabric	MB-2711	7.476316013
brca_metabric	MB-2712	6.73948344
brca_metabric	MB-2718	7.216288082
