STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0488	0.6635
brca_metabric	MB-0489	0.0133
brca_metabric	MB-0490	1.2845
brca_metabric	MB-0491	-0.3255
brca_metabric	MB-0492	2.7198
brca_metabric	MB-0494	2.9303
brca_metabric	MB-0495	3.6436
brca_metabric	MB-0496	-0.6191
brca_metabric	MB-0497	-1.1296
brca_metabric	MB-0500	1.3248
brca_metabric	MB-0501	0.2427
brca_metabric	MB-0502	-0.5413
brca_metabric	MB-0503	0.039
brca_metabric	MB-0504	1.2508
brca_metabric	MB-0505	1.4978
brca_metabric	MB-0506	0.6775
brca_metabric	MB-0507	0.74
brca_metabric	MB-0508	0.8149
brca_metabric	MB-0509	0.497
brca_metabric	MB-0510	-1.5365
brca_metabric	MB-0511	0.9636
brca_metabric	MB-0512	-0.4787
brca_metabric	MB-0513	-0.053
brca_metabric	MB-0514	0.6954
brca_metabric	MB-0516	0.1157
brca_metabric	MB-0517	-0.9161
brca_metabric	MB-0519	-0.0905
brca_metabric	MB-0521	-0.3175
brca_metabric	MB-0522	0.2368
brca_metabric	MB-0524	2.584
brca_metabric	MB-0525	1.2125
brca_metabric	MB-0526	-1.0178
brca_metabric	MB-0527	-0.413
brca_metabric	MB-0528	1.5472
brca_metabric	MB-0529	0.0827
brca_metabric	MB-0531	-1.2862
brca_metabric	MB-0532	-1.5987
brca_metabric	MB-0534	1.3079
brca_metabric	MB-0535	-0.9268
brca_metabric	MB-0536	0.471
brca_metabric	MB-0537	0.4912
brca_metabric	MB-0538	0.3007
brca_metabric	MB-0540	0.3246
brca_metabric	MB-0541	-1.1723
brca_metabric	MB-0542	-1.0857
brca_metabric	MB-0544	0.6786
brca_metabric	MB-0545	0.6808
brca_metabric	MB-0550	0.1172
brca_metabric	MB-0551	1.235
brca_metabric	MB-0552	0.8377
brca_metabric	MB-0553	0.406
brca_metabric	MB-0554	1.977
brca_metabric	MB-0558	1.8919
brca_metabric	MB-0559	1.3247
brca_metabric	MB-0568	-0.0677
brca_metabric	MB-0569	-0.9233
brca_metabric	MB-0570	-0.4163
brca_metabric	MB-0571	0.5112
brca_metabric	MB-0573	1.8509
brca_metabric	MB-0574	0.1851
brca_metabric	MB-0575	1.5405
brca_metabric	MB-0576	-0.7256
brca_metabric	MB-0577	0.2464
brca_metabric	MB-0578	0.1498
brca_metabric	MB-0579	1.7968
brca_metabric	MB-0580	3.0349
brca_metabric	MB-0581	1.5652
brca_metabric	MB-0582	-0.3514
brca_metabric	MB-0583	2.0343
brca_metabric	MB-0584	-1.398
brca_metabric	MB-0585	-1.3398
brca_metabric	MB-0586	0.0667
brca_metabric	MB-0587	0.5798
brca_metabric	MB-0588	2.5495
brca_metabric	MB-0589	0.1435
brca_metabric	MB-0590	-0.2629
brca_metabric	MB-0591	-0.5107
brca_metabric	MB-0593	-0.1754
brca_metabric	MB-0594	-1.6675
brca_metabric	MB-0596	-1.3011
brca_metabric	MB-0597	0.9018
brca_metabric	MB-0598	-0.5096
brca_metabric	MB-0599	1.1489
brca_metabric	MB-0600	-0.7313
brca_metabric	MB-0601	3.5323
brca_metabric	MB-0603	-0.4494
brca_metabric	MB-0605	-0.2051
brca_metabric	MB-0606	-0.2995
brca_metabric	MB-0607	-0.5332
brca_metabric	MB-0608	-0.3034
brca_metabric	MB-0609	0.0112
brca_metabric	MB-0610	-2.0456
brca_metabric	MB-0611	0.0714
brca_metabric	MB-0613	-0.1628
brca_metabric	MB-0614	-0.2798
brca_metabric	MB-0615	0.256
brca_metabric	MB-0616	0.4354
brca_metabric	MB-0617	2.0977
brca_metabric	MB-0618	1.2729
brca_metabric	MB-0619	-1.7401
brca_metabric	MB-0620	1.1244
brca_metabric	MB-0621	-0.9393
brca_metabric	MB-0623	1.6647
brca_metabric	MB-0624	0.8522
brca_metabric	MB-0626	-1.7335
brca_metabric	MB-0627	0.4206
