STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0359	5.451028707
brca_metabric	MB-0360	5.48673728
brca_metabric	MB-0361	5.789847995
brca_metabric	MB-0362	5.433491694
brca_metabric	MB-0363	5.419230903
brca_metabric	MB-0364	5.192137733
brca_metabric	MB-0365	5.363933342
brca_metabric	MB-0366	5.250196369
brca_metabric	MB-0367	5.343460038
brca_metabric	MB-0368	5.287633499
brca_metabric	MB-0369	5.303516708
brca_metabric	MB-0370	5.280787901
brca_metabric	MB-0371	5.206516281
brca_metabric	MB-0372	5.620444099
brca_metabric	MB-0373	6.12346958
brca_metabric	MB-0374	5.494294377
brca_metabric	MB-0375	5.500455829
brca_metabric	MB-0377	5.367558718
brca_metabric	MB-0378	5.958844017
brca_metabric	MB-0379	5.28751545
brca_metabric	MB-0380	5.38778646
brca_metabric	MB-0381	5.348765538
brca_metabric	MB-0382	5.379696651
brca_metabric	MB-0383	5.211255449
brca_metabric	MB-0384	5.422971318
brca_metabric	MB-0385	5.324837891
brca_metabric	MB-0386	5.475074936
brca_metabric	MB-0388	5.127886925
brca_metabric	MB-0389	5.57527557
brca_metabric	MB-0391	5.17239882
brca_metabric	MB-0392	5.430366289
brca_metabric	MB-0393	5.426796955
brca_metabric	MB-0394	5.287645329
brca_metabric	MB-0395	5.92367378
brca_metabric	MB-0396	5.402638719
brca_metabric	MB-0397	5.272202133
brca_metabric	MB-0398	5.477053003
brca_metabric	MB-0399	5.721199148
brca_metabric	MB-0400	5.159877358
brca_metabric	MB-0401	5.291140013
brca_metabric	MB-0402	5.183390732
brca_metabric	MB-0404	5.544139804
brca_metabric	MB-0406	5.220763089
brca_metabric	MB-0410	5.38539791
brca_metabric	MB-0411	5.312522874
brca_metabric	MB-0412	5.440704548
brca_metabric	MB-0413	5.664116853
brca_metabric	MB-0414	5.329955978
brca_metabric	MB-0417	5.162441497
brca_metabric	MB-0418	5.352189925
brca_metabric	MB-0419	5.500628689
brca_metabric	MB-0420	5.331854625
brca_metabric	MB-0421	5.544372258
brca_metabric	MB-0422	5.341578403
brca_metabric	MB-0424	5.358551213
brca_metabric	MB-0425	5.326376744
brca_metabric	MB-0426	5.475594431
brca_metabric	MB-0427	5.212040215
brca_metabric	MB-0428	5.510622816
brca_metabric	MB-0429	5.242228091
brca_metabric	MB-0431	5.365463182
brca_metabric	MB-0434	5.290207495
brca_metabric	MB-0436	5.326793871
brca_metabric	MB-0437	5.257710261
brca_metabric	MB-0438	5.450992023
brca_metabric	MB-0439	5.63868673
brca_metabric	MB-0440	5.439815265
brca_metabric	MB-0442	5.178024606
brca_metabric	MB-0443	5.333596592
brca_metabric	MB-0444	5.467787007
brca_metabric	MB-0445	5.563196912
brca_metabric	MB-0446	5.508185422
brca_metabric	MB-0449	5.482243859
brca_metabric	MB-0451	5.661719723
brca_metabric	MB-0452	5.467689061
brca_metabric	MB-0453	5.339566007
brca_metabric	MB-0454	5.46567871
brca_metabric	MB-0455	5.653195496
brca_metabric	MB-0458	5.552637333
brca_metabric	MB-0459	5.521638121
brca_metabric	MB-0460	5.345247519
brca_metabric	MB-0462	5.373360725
brca_metabric	MB-0463	5.187464631
brca_metabric	MB-0464	5.096543353
brca_metabric	MB-0465	5.300947917
brca_metabric	MB-0466	5.359724997
brca_metabric	MB-0467	5.638278733
brca_metabric	MB-0468	5.378669422
brca_metabric	MB-0469	5.63512104
brca_metabric	MB-0470	6.368138376
brca_metabric	MB-0471	5.236184922
brca_metabric	MB-0472	5.174306078
brca_metabric	MB-0474	5.466580756
brca_metabric	MB-0475	5.621664214
brca_metabric	MB-0476	5.239638563
brca_metabric	MB-0478	5.469991315
brca_metabric	MB-0479	6.195322293
brca_metabric	MB-0480	5.29369183
brca_metabric	MB-0481	5.282674906
brca_metabric	MB-0482	5.535144628
brca_metabric	MB-0483	5.462453735
brca_metabric	MB-0484	5.039745612
brca_metabric	MB-0485	5.48757788
brca_metabric	MB-0486	5.323780541
brca_metabric	MB-0487	5.419149143
