STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0371	-0.987
brca_metabric	MB-0372	1.2486
brca_metabric	MB-0373	3.7844
brca_metabric	MB-0374	0.5824
brca_metabric	MB-0375	0.6152
brca_metabric	MB-0377	-0.1
brca_metabric	MB-0378	2.9747
brca_metabric	MB-0379	-0.538
brca_metabric	MB-0380	0.0098
brca_metabric	MB-0381	-0.2024
brca_metabric	MB-0382	-0.0341
brca_metabric	MB-0383	-0.9606
brca_metabric	MB-0384	0.2
brca_metabric	MB-0385	-0.3331
brca_metabric	MB-0386	0.4798
brca_metabric	MB-0388	-1.4285
brca_metabric	MB-0389	1.0115
brca_metabric	MB-0391	-1.1779
brca_metabric	MB-0392	0.2399
brca_metabric	MB-0393	0.2206
brca_metabric	MB-0394	-0.5373
brca_metabric	MB-0395	2.7993
brca_metabric	MB-0396	0.0902
brca_metabric	MB-0397	-0.6225
brca_metabric	MB-0398	0.4904
brca_metabric	MB-0399	1.7716
brca_metabric	MB-0400	-1.2482
brca_metabric	MB-0401	-0.5181
brca_metabric	MB-0402	-1.1163
brca_metabric	MB-0404	0.8472
brca_metabric	MB-0406	-0.9076
brca_metabric	MB-0410	-0.0031
brca_metabric	MB-0411	-0.4006
brca_metabric	MB-0412	0.2955
brca_metabric	MB-0413	1.4762
brca_metabric	MB-0414	-0.3051
brca_metabric	MB-0417	-1.2338
brca_metabric	MB-0418	-0.1837
brca_metabric	MB-0419	0.6162
brca_metabric	MB-0420	-0.2947
brca_metabric	MB-0421	0.8484
brca_metabric	MB-0422	-0.2416
brca_metabric	MB-0424	-0.149
brca_metabric	MB-0425	-0.3247
brca_metabric	MB-0426	0.4826
brca_metabric	MB-0427	-0.9562
brca_metabric	MB-0428	0.6694
brca_metabric	MB-0429	-0.7883
brca_metabric	MB-0431	-0.1114
brca_metabric	MB-0434	-0.5232
brca_metabric	MB-0436	-0.3224
brca_metabric	MB-0437	-0.7026
brca_metabric	MB-0438	0.3508
brca_metabric	MB-0439	1.3439
brca_metabric	MB-0440	0.2907
brca_metabric	MB-0442	-1.1463
brca_metabric	MB-0443	-0.2852
brca_metabric	MB-0444	0.4408
brca_metabric	MB-0445	0.9479
brca_metabric	MB-0446	0.6564
brca_metabric	MB-0449	0.5181
brca_metabric	MB-0451	1.4638
brca_metabric	MB-0452	0.4403
brca_metabric	MB-0453	-0.2526
brca_metabric	MB-0454	0.4295
brca_metabric	MB-0455	1.4194
brca_metabric	MB-0458	0.8921
brca_metabric	MB-0459	0.7279
brca_metabric	MB-0460	-0.2215
brca_metabric	MB-0462	-0.0685
brca_metabric	MB-0463	-1.0935
brca_metabric	MB-0464	-1.6061
brca_metabric	MB-0465	-0.4641
brca_metabric	MB-0466	-0.1426
brca_metabric	MB-0467	1.3417
brca_metabric	MB-0468	-0.0396
brca_metabric	MB-0469	1.3253
brca_metabric	MB-0470	4.9537
brca_metabric	MB-0471	-0.8219
brca_metabric	MB-0472	-1.1672
brca_metabric	MB-0474	0.4343
brca_metabric	MB-0475	1.255
brca_metabric	MB-0476	-0.8027
brca_metabric	MB-0478	0.4526
brca_metabric	MB-0479	4.1319
brca_metabric	MB-0480	-0.504
brca_metabric	MB-0481	-0.5647
brca_metabric	MB-0482	0.7995
brca_metabric	MB-0483	0.4122
brca_metabric	MB-0484	-1.9302
brca_metabric	MB-0485	0.5466
brca_metabric	MB-0486	-0.3389
brca_metabric	MB-0487	0.1794
brca_metabric	MB-0488	0.5112
brca_metabric	MB-0489	1.2493
brca_metabric	MB-0490	1.2991
brca_metabric	MB-0491	-0.3474
brca_metabric	MB-0492	-0.202
brca_metabric	MB-0494	-1.4055
brca_metabric	MB-0495	-1.1556
brca_metabric	MB-0496	0.2108
brca_metabric	MB-0497	0.3968
brca_metabric	MB-0500	0.6427
brca_metabric	MB-0501	0.0883
brca_metabric	MB-0502	-0.7806
brca_metabric	MB-0503	0.0374
brca_metabric	MB-0504	-0.5031
brca_metabric	MB-0505	-0.646
brca_metabric	MB-0506	2.6121
brca_metabric	MB-0507	-1.4869
brca_metabric	MB-0508	-0.3073
brca_metabric	MB-0509	-0.7429
brca_metabric	MB-0510	-0.4852
brca_metabric	MB-0511	0.5473
brca_metabric	MB-0512	-0.1987
brca_metabric	MB-0513	0.6374
brca_metabric	MB-0514	-1.3061
brca_metabric	MB-0516	0.8346
brca_metabric	MB-0517	0.4985
brca_metabric	MB-0519	0.1567
brca_metabric	MB-0521	0.5601
brca_metabric	MB-0522	1.9326
brca_metabric	MB-0524	-1.2559
brca_metabric	MB-0525	-0.0718
brca_metabric	MB-0526	0.1676
brca_metabric	MB-0527	-0.2852
brca_metabric	MB-0528	0.022
brca_metabric	MB-0529	-2.7447
brca_metabric	MB-0531	-0.0431
brca_metabric	MB-0532	-0.4467
brca_metabric	MB-0534	-1.3189
